Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1395;17325;1006;7471;Very-High
1371;14376;892;7326;High
1295;11318;775;707;High
1231;11160;713;7005;Normal
1239;10050;597;7005;Normal
1289;13235;704;7136;High
1398;19698;1116;7438;Very-High
1347;10284;703;6587;Normal
1336;11367;616;6616;Normal
1347;9796;596;6559;Normal
135;9268;645;6533;Normal
129;9028;772;669;Normal
133;8743;812;662;Normal
1327;8354;759;6571;Normal
136;11496;824;6734;High
127;8888;581;665;Normal
1552;14797;943;7124;High
1498;10825;103;6984;High
131;7566;73;6638;Normal
1288;7275;652;6658;Normal
128;9351;674;6445;Normal
1383;7472;711;6386;Normal
1255;6855;647;6591;Normal
1329;6357;726;6645;Normal
1225;7403;708;6381;Normal
1209;6750;781;608;Normal
1226;7253;795;6657;Normal
1289;7573;742;647;Normal
127;7958;669;6661;Normal
1376;8995;779;6475;Normal
1268;8857;807;6759;Normal
1271;7175;726;6623;Normal
1316;6484;724;638;Normal
1155;7426;718;6658;Normal
1232;6093;576;6796;Normal
1304;6298;632;6802;Normal
1246;8219;782;6662;Normal
1134;5809;665;6762;Low
1312;5245;606;5953;Low
1276;5894;66;6452;Low
1608;13199;1146;689;High
1255;8860;712;7018;Normal
1252;9774;668;685;Normal
1201;9072;627;7328;Normal
1237;7183;709;7234;Normal
1231;7779;663;7054;Normal
1154;8126;694;7105;Normal
1177;8988;704;7069;Normal
1198;8624;673;7129;Normal
1203;7074;725;7212;Normal
1156;7326;658;7124;Normal
1113;8202;666;7256;Normal
1179;7552;586;6771;Normal
1359;8532;681;7004;Normal
1481;14322;99;7241;High
1287;11514;757;7141;High
1255;10931;837;6964;High
127;12788;836;7043;High
1268;11556;79;6975;High
1254;10738;751;6864;Normal
1253;11242;869;6689;Normal
124;9357;859;7128;Normal
121;8482;784;7145;Normal
1246;10996;795;6931;Normal
1197;9110;776;6924;Normal
1221;10327;865;6562;Normal
1239;9807;77;6792;Normal
1176;10504;897;7024;High
1281;11000;905;6806;High
1173;10164;745;6943;Normal
1493;13677;1142;7316;Very-High
125;12062;8;6823;High
1195;11209;738;6908;Normal
1183;11579;719;6889;Normal
1199;12571;729;6666;Normal
1237;9780;732;6559;Normal
1185;11847;754;6998;Normal
1207;12535;772;6559;Normal
1218;12138;78;6554;Normal
1283;9567;736;6324;Normal
1253;11227;857;7012;High
1233;11710;77;6974;High
1236;11442;704;6737;Normal
1391;14256;993;7075;High
1479;13590;1093;7167;High
1367;11917;948;7396;High
1299;10605;822;7228;High
1288;9849;807;7257;High
1357;10959;884;7193;High
1265;10614;908;7276;High
133;12207;898;7168;High
1254;11492;803;7105;High
1248;7653;769;7156;Normal
1412;14557;1065;7418;High
1466;14466;1046;7393;High
1289;16698;1072;7394;High
1282;8943;887;725;High
1327;9853;904;714;High
1298;9310;892;7255;High
1219;7511;849;7135;Normal
1262;6956;773;7127;Normal
137;11153;994;7388;High
1268;10731;924;7126;High
113;10054;759;6886;Normal
1396;12319;956;7067;High
1204;11397;79;696;Normal
122;8525;9;6971;Normal
1208;11410;884;6947;High
1265;11318;961;7103;High
1188;8992;811;6721;Normal
1151;8097;857;7014;Normal
1174;10354;882;6977;Normal
1223;8743;773;6419;Normal
1148;8856;757;6751;Normal
1412;13814;1104;7152;High
1226;12168;965;7072;High
1417;11647;1025;7143;High
1275;10663;1004;6997;High
1313;9488;852;6778;Normal
1304;7545;814;6512;Normal
1322;9712;806;7032;Normal
1289;11159;898;6845;High
1368;8936;904;7051;High
1247;8106;785;6637;Normal
1271;8017;796;6471;Normal
1307;8079;874;6759;Normal
1245;9808;718;6357;Normal
1182;7608;816;6461;Normal
1285;8236;843;6915;Normal
1288;7810;844;6421;Normal
1222;8985;858;6877;Normal
162;15074;1133;7031;Very-High
1334;10814;802;7008;High
1246;8666;74;6803;Normal
1279;10331;734;6727;Normal
1201;11153;647;7011;Normal
1195;8957;621;6589;Normal
1222;10134;691;6664;Normal
1329;9179;775;7011;Normal
1285;9098;729;6683;Normal
1299;10558;743;6874;Normal
1241;11197;749;6612;Normal
1356;10622;786;686;High
1267;8686;697;665;Normal
1257;9291;763;6902;Normal
1311;12057;679;6679;Normal
1291;11834;779;6915;High
132;11508;784;6898;High
1368;10683;868;7055;High
133;9705;797;6984;Normal
135;7087;794;728;Normal
1239;11429;753;679;Normal
1281;12346;845;7003;High
1335;7783;776;7309;Normal
1555;16597;1109;717;Very-High
1447;13303;1029;7088;High
1506;12662;1051;7049;High
1353;9262;869;7072;High
1353;7209;75;676;Normal
1377;8098;819;6997;Normal
1298;10004;894;6976;High
1239;12384;857;7038;High
1223;8914;773;7024;Normal
1182;8190;754;6817;Normal
1315;9136;772;6985;Normal
1209;10133;767;6994;Normal
1274;7393;854;7056;Normal
1233;9050;881;6895;Normal
1189;7606;718;7199;Normal
1159;6601;917;6806;Normal
1213;7405;676;6997;Normal
1235;7160;728;6733;Normal
1256;7192;707;6733;Normal
162;14168;1169;7326;Very-High
148;10374;1013;7072;High
1303;9839;746;6745;Normal
1242;8654;653;6825;Normal
1291;9071;683;6698;Normal
1235;10076;685;6325;Normal
1344;9827;804;6795;Normal
1243;8780;672;6536;Normal
1431;11908;1034;7202;High
1259;9051;75;6458;Normal
1358;9904;825;6105;Normal
1302;8355;724;6197;Normal
1158;7597;722;7062;Normal
1314;9308;753;6694;Normal
1159;10915;768;6562;Normal
1171;8243;723;6779;Normal
1392;8721;958;6559;Normal
1227;6275;939;6319;Normal
1262;7481;949;6477;Normal
1414;10106;93;6619;High
1279;10203;832;6616;Normal
1209;7518;87;6252;Normal
1341;8543;885;612;Normal
1257;9268;802;5884;Normal
1189;6721;8;6187;Normal
1248;7506;742;6592;Normal
1601;13993;1166;7012;Very-High
1389;7323;1018;6489;Normal
1362;7980;872;678;Normal
1307;7418;788;6578;Normal
1293;7885;865;6316;Normal
1266;7044;857;6283;Normal
1276;7156;762;6542;Normal
1358;7519;837;6915;Normal
1273;7969;797;6819;Normal
1241;6294;696;6658;Normal
1214;6455;744;6158;Low
1572;13166;1126;705;High
1391;8232;963;6887;Normal
1253;7816;727;6555;Normal
1385;7357;851;6812;Normal
1176;8071;809;6425;Normal
1105;7927;675;5953;Low
1194;9622;777;6015;Normal
1363;11789;804;6822;High
1256;6062;715;6583;Normal
1321;7240;783;6571;Normal
118;7760;763;6442;Normal
1132;4859;494;5956;Low
1267;5168;653;6493;Low
1232;5225;648;6716;Low
1133;4979;497;6689;Low
1421;13484;1093;70;High
1083;7159;652;6536;Normal
1324;10430;849;6671;Normal
1158;7637;517;5899;Low
1417;10160;96;6666;High
1114;9143;953;6772;Normal
1224;7739;907;6885;Normal
1394;9969;10;68;High
1047;6535;42;6594;Low
659;5459;351;6465;Low
1177;11700;976;7206;High
1099;8211;832;5916;Normal
1053;6268;629;6456;Low
847;5882;474;5688;Low
759;4737;401;6552;Low
579;5578;249;6408;Low
804;4946;362;653;Low
1155;6814;852;66;Normal
1214;8918;783;6635;Normal
1277;6978;887;6599;Normal
1272;5769;839;6553;Normal
113;4755;546;5718;Low
295;4131;85;5482;Low
801;4517;318;6579;Low
833;4609;278;6314;Low
846;4799;244;651;Low
493;5506;195;6533;Low
1013;5522;491;6532;Low
711;5440;251;6526;Low
979;4761;299;6483;Low
1499;14922;113;7015;High
1291;11059;817;712;High
