Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1397;14391;929;7378;High
13;11287;814;7141;High
1235;11201;718;7062;Normal
1242;10175;633;7056;Normal
1308;13362;725;7195;High
1409;19598;1148;7493;Very-High
139;10377;738;6669;Normal
1395;11334;642;6719;Normal
1385;9962;629;6638;Normal
139;9450;671;6616;Normal
1307;9167;815;6773;Normal
1353;8899;872;6699;Normal
1339;8495;791;665;Normal
1364;11548;872;6831;High
1276;9057;604;6736;Normal
1564;14999;954;7188;High
1504;11135;1065;705;High
132;7554;769;6715;Normal
1312;7307;684;6712;Normal
1283;9354;732;6516;Normal
1386;7476;739;6491;Normal
1258;6839;674;6646;Normal
1332;6324;796;6709;Normal
1228;7431;736;6489;Normal
1224;6751;842;6164;Normal
1243;7257;823;672;Normal
1292;7578;772;6531;Normal
1343;8021;695;6745;Normal
1379;9027;803;6543;Normal
1271;8819;853;6812;Normal
1369;7133;761;6711;Normal
1319;6503;771;6488;Normal
1229;7410;756;6746;Normal
1304;6061;647;6842;Normal
1307;6355;635;6857;Normal
1249;8254;79;6725;Normal
1226;5780;735;6807;Normal
1315;5256;666;6066;Low
1279;5861;71;6501;Normal
1641;13218;116;6973;High
1265;8974;745;7076;Normal
1263;9828;672;6908;Normal
121;9193;68;7384;Normal
1243;7431;712;7304;Normal
1265;7758;704;7118;Normal
1159;8328;739;7142;Normal
1181;9209;746;7111;Normal
1204;8708;708;7184;Normal
1208;7168;753;7253;Normal
1189;7462;685;7205;Normal
1117;8415;691;7298;Normal
1184;7920;602;6848;Normal
1387;8630;7;7069;Normal
1501;14610;1043;7312;High
1291;11767;79;7218;High
1274;11182;864;6979;High
1273;13117;853;7068;High
1285;11866;815;699;High
1293;11148;76;6878;Normal
1266;11492;895;6719;High
125;9951;885;713;High
1213;8773;809;7156;Normal
1249;11234;843;6939;High
12;9420;796;6926;Normal
1281;10568;868;6587;Normal
1242;10082;819;681;Normal
119;10809;918;7046;High
1284;11322;923;6831;High
1176;10449;761;6953;Normal
1496;14070;1153;7324;Very-High
1281;12143;834;6883;High
1231;11310;789;6959;Normal
1195;11720;746;6932;Normal
